,DateTime,Latitude,Longitude
0,20081103233736,39.981632,116.32686799999999
1,20081103233741,39.981526,116.326874
2,20081103233746,39.98171,116.327229
3,20081103233751,39.981595,116.327045
4,20081103233756,39.981387,116.32673600000001
5,20081103233801,39.981419,116.326632
6,20081103233806,39.981455,116.32670900000001
7,20081103233811,39.981435999999995,116.32661599999999
8,20081103233816,39.981435,116.326605
9,20081103233821,39.981452000000004,116.32665800000001
10,20081103233826,39.981449,116.32666499999999
11,20081103233831,39.981445,116.32666100000002
12,20081103233836,39.981451,116.32666499999999
13,20081103233841,39.981455,116.32666100000002
14,20081103233846,39.98146,116.32666
15,20081103233851,39.98146,116.32665800000001
16,20081103233856,39.98146,116.32665700000001
17,20081103233901,39.981466,116.326651
18,20081103233904,39.981466,116.326651
19,20081103233906,39.98147,116.32665700000001
20,20081103233911,39.981475,116.326669
21,20081103233916,39.981485,116.32666699999999
22,20081103233921,39.981487,116.326664
23,20081103233926,39.981489,116.32666100000002
24,20081103233929,39.981489,116.32666100000002
25,20081103233931,39.981491,116.32665700000001
26,20081103233936,39.981482,116.32664399999999
27,20081103233941,39.981483000000004,116.32664399999999
28,20081103233944,39.981483000000004,116.32664399999999
29,20081103233946,39.981484,116.32664399999999
30,20081103233951,39.981733,116.32696100000001
31,20081103234351,39.981972999999996,116.327096
32,20081103234356,39.982134,116.326982
33,20081103234401,39.982339,116.327067
34,20081103234406,39.982503,116.327114
35,20081103234411,39.982890000000005,116.327249
36,20081103234416,39.983298,116.32736200000001
37,20081103234421,39.98373,116.32735
38,20081103234426,39.984047,116.327234
39,20081103234431,39.984278,116.327288
40,20081103234436,39.984435,116.327602
41,20081103234441,39.984499,116.32829299999999
42,20081103234446,39.984563,116.32906899999999
43,20081103234451,39.984613,116.32977199999999
44,20081103234456,39.984646999999995,116.33057
45,20081103234501,39.984665,116.331397
46,20081103234506,39.984668,116.33228000000001
47,20081103234511,39.9847,116.333129
48,20081103234516,39.984705,116.334018
49,20081103234521,39.984705,116.33488700000001
50,20081103234526,39.984675,116.33571599999999
51,20081103234531,39.984652000000004,116.33652099999999
52,20081103234536,39.984629999999996,116.337217
53,20081103234541,39.984665,116.33777099999999
54,20081103234546,39.984640999999996,116.33815
55,20081103234551,39.984808,116.338421
56,20081103234556,39.98485,116.33875400000001
57,20081103234601,39.984804,116.339164
58,20081103234606,39.984859,116.339398
59,20081103234611,39.984773,116.33939699999999
60,20081103234616,39.984681,116.33936499999999
61,20081103234621,39.984541,116.33935
62,20081103234626,39.984393,116.33931000000001
63,20081103234631,39.984242,116.33923
64,20081103234636,39.98411,116.339234
65,20081103234641,39.983985,116.33946100000001
66,20081103234646,39.983868,116.339849
67,20081103234651,39.983996999999995,116.34036299999998
68,20081103234656,39.984193,116.340938
69,20081103234701,39.985471000000004,116.34175800000001
70,20081103234706,39.985549,116.342248
71,20081103234711,39.985577,116.34259899999999
72,20081103234716,39.985576,116.34279599999999
73,20081103234721,39.985527000000005,116.342897
74,20081103234726,39.985439,116.342955
75,20081103234731,39.985286,116.34291
76,20081103234736,39.985233,116.342846
77,20081103234741,39.985246000000004,116.342858
78,20081103234746,39.985231,116.34281399999999
79,20081103234751,39.984929,116.34273700000001
80,20081103234756,39.985018,116.34301799999999
81,20081103234801,39.984983,116.34307199999999
82,20081103234806,39.9851,116.34285
83,20081103234811,39.985124,116.342925
84,20081103234816,39.985154,116.34303700000001
85,20081103234821,39.985183,116.34316100000001
86,20081103234826,39.985186999999996,116.343309
87,20081103234831,39.985193,116.343418
88,20081103234836,39.985189,116.343496
89,20081103234841,39.985203000000006,116.343542
90,20081103234846,39.985199,116.34348999999999
91,20081103234851,39.985206,116.34351000000001
92,20081103234854,39.985206,116.34351000000001
93,20081103234856,39.985214,116.343511
94,20081103234901,39.985170000000004,116.343406
95,20081103234906,39.985158,116.34338000000001
96,20081103234911,39.985141,116.34335800000001
97,20081103234916,39.985123,116.34334799999999
98,20081103234921,39.98512,116.34333600000001
99,20081103234924,39.98512,116.34333600000001
